sport,country,league,season,match_time,home_team,away_team,scraped_date
football,Albania,Superliga,2020/2021,19.12. 04:45,Apolonia Fier,Teuta,2020-12-15
football,Albania,Superliga,2020/2021,19.12. 04:45,Kastrioti,Kukesi,2020-12-15
football,Albania,Superliga,2020/2021,19.12. 04:45,Laci,Vllaznia,2020-12-15
football,Albania,Superliga,2020/2021,19.12. 04:45,Skenderbeu,KF Tirana,2020-12-15
football,Albania,Superliga,2020/2021,19.12. 07:45,Partizani,Bylis,2020-12-15
football,Albania,Superliga,2020/2021,23.12. 04:45,Apolonia Fier,Vllaznia,2020-12-15
football,Albania,Superliga,2020/2021,23.12. 04:45,Laci,Bylis,2020-12-15
football,Albania,Superliga,2020/2021,23.12. 04:45,Partizani,Kastrioti,2020-12-15
football,Albania,Superliga,2020/2021,23.12. 04:45,Skenderbeu,Teuta,2020-12-15
football,Albania,Superliga,2020/2021,23.12. 07:45,Kukesi,KF Tirana,2020-12-15
football,Albania,Superliga,2020/2021,27.12. 04:45,Bylis,Apolonia Fier,2020-12-15
football,Albania,Superliga,2020/2021,27.12. 04:45,Kastrioti,Laci,2020-12-15
football,Albania,Superliga,2020/2021,27.12. 04:45,Vllaznia,Skenderbeu,2020-12-15
football,Albania,Superliga,2020/2021,27.12. 07:45,Partizani,Kukesi,2020-12-15
football,Albania,Superliga,2020/2021,27.12. 07:45,Teuta,KF Tirana,2020-12-15
football,Albania,Superliga,2020/2021,30.12. 10:00,Apolonia Fier,Kastrioti,2020-12-15
football,Albania,Superliga,2020/2021,30.12. 10:00,KF Tirana,Vllaznia,2020-12-15
football,Albania,Superliga,2020/2021,30.12. 10:00,Kukesi,Teuta,2020-12-15
football,Albania,Superliga,2020/2021,30.12. 10:00,Laci,Partizani,2020-12-15
football,Albania,Superliga,2020/2021,30.12. 10:00,Skenderbeu,Bylis,2020-12-15
football,Albania,Superliga,2020/2021,09.01. 10:00,Bylis,KF Tirana,2020-12-15
football,Albania,Superliga,2020/2021,09.01. 10:00,Kastrioti,Skenderbeu,2020-12-15
football,Albania,Superliga,2020/2021,09.01. 10:00,Laci,Kukesi,2020-12-15
football,Albania,Superliga,2020/2021,09.01. 10:00,Partizani,Apolonia Fier,2020-12-15
football,Albania,Superliga,2020/2021,09.01. 10:00,Vllaznia,Teuta,2020-12-15
football,Albania,Superliga,2020/2021,16.01. 10:00,Apolonia Fier,Laci,2020-12-15
football,Albania,Superliga,2020/2021,16.01. 10:00,KF Tirana,Kastrioti,2020-12-15
football,Albania,Superliga,2020/2021,16.01. 10:00,Kukesi,Vllaznia,2020-12-15
football,Albania,Superliga,2020/2021,16.01. 10:00,Skenderbeu,Partizani,2020-12-15
football,Albania,Superliga,2020/2021,16.01. 10:00,Teuta,Bylis,2020-12-15
football,Albania,Superliga,2020/2021,20.01. 10:00,Apolonia Fier,Kukesi,2020-12-15
handball,Austria,HLA,2020/2021,15.12. 10:00,Bregenz,West Wien,2020-12-15
football,Albania,Superliga,2020/2021,20.01. 10:00,Bylis,Vllaznia,2020-12-15
football,Albania,Superliga,2020/2021,20.01. 10:00,Kastrioti,Teuta,2020-12-15
football,Albania,Superliga,2020/2021,20.01. 10:00,Laci,Skenderbeu,2020-12-15
football,Albania,Superliga,2020/2021,20.01. 10:00,Partizani,KF Tirana,2020-12-15
handball,Austria,HLA,2020/2021,15.12. 10:30,Ferlach,Linz,2020-12-15
handball,Austria,HLA,2020/2021,16.12. 11:20,Handball Tirol,Alpla Hard,2020-12-15
handball,Austria,HLA,2020/2021,16.12. 11:20,HSG Graz,Aon Fivers,2020-12-15
football,Albania,Superliga,2020/2021,24.01. 10:00,KF Tirana,Laci,2020-12-15
football,Albania,Superliga,2020/2021,24.01. 10:00,Kukesi,Bylis,2020-12-15
football,Albania,Superliga,2020/2021,24.01. 10:00,Skenderbeu,Apolonia Fier,2020-12-15
football,Albania,Superliga,2020/2021,24.01. 10:00,Teuta,Partizani,2020-12-15
handball,Austria,HLA,2020/2021,17.12. 11:00,Linz,Barnbach/K.,2020-12-15
