sport,country,league
football,Turkey,Super Lig
football,Turkey,1. Lig
football,Turkey,2. Lig White Group
football,Turkey,2. Lig Red Group
football,Turkey,2. Lig Play Offs
football,Turkey,3. Lig Group 1
football,Turkey,3. Lig Group 2
football,Turkey,3. Lig Group 3
football,Turkey,3. Lig Group 4
football,Turkey,TFF 3. Lig Play Offs
football,Turkey,Turkish Cup
football,Turkey,Super Cup
football,Tunisia,Ligue Professionnelle 1
football,Tunisia,Ligue 2
football,Tunisia,Tunisia Cup
football,Tunisia,Super Cup
football,Trinidad and Tobago,Pro League
football,Togo,Championnat National
football,Thailand,Thai League 1
football,Thailand,Thai League 2
football,Thailand,Thai FA Cup
football,Thailand,Champions Cup
football,Tanzania,Ligi Kuu Bara
football,Tajikistan,Vysshaya Liga
football,Tajikistan,Super Cup
football,Taiwan,Premier League
football,Taiwan,Mulan Football League Women
football,Syria,Premier League
football,Syria,Syria Cup
football,Switzerland,Super League
football,Switzerland,Challenge League
football,Switzerland,Promotion League
football,Switzerland,1.Liga Classic Group 1
football,Switzerland,1.Liga Classic Group 2
football,Switzerland,1.Liga Classic Group 3
football,Switzerland,1.Liga Classic Play Offs
football,Switzerland,Swiss Cup
football,Switzerland,Nationalliga A Women
football,Sweden,Allsvenskan
football,Sweden,Superettan
football,Sweden,Division 1 - Norra
football,Sweden,Division 1 - Södra
football,Sweden,Division 1 - Relegation
football,Sweden,Division 2 - Norrland
football,Sweden,Division 2 - Norra Svealand
football,Sweden,Division 2 - Västra Götaland
football,Sweden,Division 2 - Södra Svealand
football,Sweden,Division 2 - Norra Götaland
football,Sweden,Division 2 - Östra Svealand
football,Sweden,Division 2 - Östra Götaland
football,Sweden,Division 2 - Promotion Group
football,Sweden,Svenska Cupen
football,Sweden,Super Cup
football,Sweden,Allsvenskan Women
football,Sweden,Elitettan Women
football,Sweden,Svenska Cupen Women
football,Sweden,Super Cup Women
football,Sudan,Premier League
football,Sri Lanka,Champions League
football,Spain,LaLiga
football,Spain,LaLiga2
football,Spain,Segunda Division B - Group 1
football,Spain,Segunda Division B - Group 2
football,Spain,Segunda Division B - Group 3
football,Spain,Segunda Division B - Group 4
football,Spain,Segunda Division B - Group 5
football,Spain,Segunda Division B Winners Play Offs
football,Spain,Segunda Division B Losers Play Offs
football,Spain,Segunda Division B Play Offs
football,Spain,Segunda Division B Play Out
football,Spain,Tercera Division - Group 1
football,Spain,Tercera Division - Group 2
football,Spain,Tercera Division - Group 3
football,Spain,Tercera Division - Group 4
football,Spain,Tercera Division - Group 5
football,Spain,Tercera Division - Group 6
football,Spain,Tercera Division - Group 7
football,Spain,Tercera Division - Group 8
football,Spain,Tercera Division - Group 9
football,Spain,Tercera Division - Group 10
football,Spain,Tercera Division - Group 11
football,Spain,Tercera Division - Group 12
football,Spain,Tercera Division - Group 13
football,Spain,Tercera Division - Group 14
football,Spain,Tercera Division - Group 15
football,Spain,Tercera Division - Group 16
football,Spain,Tercera Division - Group 17
football,Spain,Tercera Division - Group 18
football,Spain,Tercera Division - Play Offs
football,Spain,Tercera Division - Promotion Play Offs
football,Spain,Copa del Rey
football,Spain,Copa Federacion
football,Spain,Super Cup
football,Spain,Primera Division Women
football,Spain,Copa de la Reina Women
