sport,country,league
football,Brazil,Campeonato Matogrossense
football,Brazil,Campeonato Mineiro
football,Brazil,Campeonato Mineiro 2
football,Brazil,Campeonato Paraense
football,Brazil,Campeonato Paraibano
football,Brazil,Campeonato Paranaense
football,Brazil,Campeonato Paulista
football,Brazil,Campeonato Paulista A2
football,Brazil,Campeonato Pernambucano
football,Brazil,Campeonato Piauiense
football,Brazil,Campeonato Potiguar
football,Brazil,Campeonato Rondoniense
football,Brazil,Campeonato Roraimense
football,Brazil,Campeonato Sergipano
football,Brazil,Campeonato Sul-Matogrossense
football,Brazil,Campeonato Tocantinense
football,Brazil,Copa do Brasil
football,Brazil,Copa do Brasil U20
football,Brazil,Copa Paulista
football,Brazil,Copa Verde
football,Brazil,Copa do Nordeste
football,Brazil,Supercopa do Brasil
football,Brazil,Brasileiro U23
football,Brazil,Brasileiro U20
football,Brazil,Copa Sao Paulo de juniores
football,Brazil,Brasileiro Women
football,Brazil,Brasileiro A2 Women
football,Botswana,Premier League
football,Bosnia and Herzegovina,Premier League
football,Bosnia and Herzegovina,Prva Liga - FBiH
football,Bosnia and Herzegovina,Prva Liga - RS
football,Bosnia and Herzegovina,Bosnia and Herzegovina Cup
football,Bolivia,Division Profesional
football,Bolivia,Nacional B
football,Bermuda,Premier League
football,Benin,Ligue 1
football,Belgium,Jupiler League
football,Belgium,Proximus League
football,Belgium,National Division 1
football,Belgium,Second Amateur Division Group ACFF
football,Belgium,Second Amateur Division Group VFV A
football,Belgium,Second Amateur Division Group VFV B
football,Belgium,Second Amateur Division Play Offs
football,Belgium,Belgian Cup
football,Belgium,Super Cup
football,Belgium,Pro League U21
football,Belgium,Super League Women
football,Belgium,1st National Women
football,Belgium,Belgian Cup Women
football,Belarus,Vysshaya Liga
football,Belarus,Pershaya Liga
football,Belarus,Division 2 - Group A
football,Belarus,Division 2 - Group B
football,Belarus,Division 2 - Promotion Group
football,Belarus,Division 2 - Play Offs
football,Belarus,Belarusian Cup
football,Belarus,Super Cup
football,Belarus,Vysshaya Liga Reserve
football,Belarus,Vysshaya Liga Women
football,Bangladesh,Premier League
football,Bangladesh,Federation Cup
football,Bahrain,Premier League
football,Bahrain,King's Cup
football,Bahrain,Bahrain Cup
football,Azerbaijan,Premier League
football,Azerbaijan,Azerbaijan Cup
football,Azerbaijan,Super Cup
football,Austria,Tipico Bundesliga
football,Austria,2. Liga
football,Austria,Regionalliga West - Promotion Group
football,Austria,Regionalliga East
football,Austria,Regionalliga Central
football,Austria,Regionalliga West - Tyrol
football,Austria,Regionalliga West - Salzburg
football,Austria,Regionalliga West - Vorarlberg
football,Austria,Regionalliga West
football,Austria,OFB Cup
football,Austria,Bundesliga Women
football,Australia,A-League
football,Australia,NPL ACT
football,Australia,NPL Northern NSW
football,Australia,NPL NSW
football,Australia,NPL Queensland
football,Australia,NPL South Australian
football,Australia,NPL Tasmania
football,Australia,NPL Victoria
football,Australia,NPL Western Australia
football,Australia,NPL Finals Series
football,Australia,Brisbane Premier League
football,Australia,FFA Cup
football,Australia,Y-League
football,Australia,W-League
football,Aruba,Division di Honor
football,Armenia,Premier League
football,Armenia,First League
football,Armenia,Armenian Cup
football,Armenia,Super Cup
football,Argentina,Liga Profesional
football,Argentina,Copa Diego Maradona
football,Argentina,Primera Nacional
football,Argentina,Torneo Federal
football,Argentina,Primera B
football,Argentina,Primera C
football,Argentina,Primera D
football,Argentina,Copa Argentina
football,Argentina,Copa de la Superliga
football,Argentina,Super Cup
football,Argentina,Torneos De Verano
football,Argentina,Trofeo de Campeones
football,Angola,Girabola
football,Andorra,Primera Divisió
football,Andorra,Andorra Cup
football,Andorra,Super Cup
football,Algeria,Ligue 1
football,Algeria,Ligue 2
football,Algeria,Algeria Cup
football,Algeria,U21 League
football,Algeria,Super Cup
