sport,country,league,season,match_time,home_team,away_team,scraped_date
football,Ukraine,Youth League,2020/2021,05.03. 05:00,Zorya U21,Lviv U21,2020-12-15
football,Uganda,Premier League,2020/2021,16.03. 06:30,UPDF,Wakiso Giants,2020-12-15
football,Uganda,Premier League,2020/2021,17.03. 06:30,Kyetume,Myda,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Lviv U21,Rukh Lviv U21,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Mariupol U21,Kolos Kovalivka U21,2020-12-15
football,Uganda,Premier League,2020/2021,17.03. 06:30,Onduparaka FC,URA SC,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Minaj U21,Inhulets U21,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Oleksandriya U21,Olimpik Donetsk U21,2020-12-15
football,Uganda,Premier League,2020/2021,17.03. 06:30,Vipers,Kampala City,2020-12-15
football,Uganda,Premier League,2020/2021,18.03. 03:00,Busoga,Airtel Kitara,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Shakhtar Donetsk U21,Desna U21,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Vorskla Poltava U21,Dnipro-1 U21,2020-12-15
football,Ukraine,Youth League,2020/2021,12.03. 05:00,Zorya U21,Dynamo Kiev U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Desna U21,Dnipro-1 U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Dynamo Kiev U21,Rukh Lviv U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Inhulets U21,Oleksandriya U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Kolos Kovalivka U21,Zorya U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Lviv U21,Shakhtar Donetsk U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Mariupol U21,Minaj U21,2020-12-15
football,Ukraine,Youth League,2020/2021,19.03. 06:00,Vorskla Poltava U21,Olimpik Donetsk U21,2020-12-15
