sport,country,league,season,team,overall_rank,home_rank,home_mp,home_w,home_wo,home_lo,home_d,home_l,home_gf,home_ga,home_pts,away_rank,away_mp,away_w,away_wo,away_lo,away_d,away_l,away_gf,away_ga,away_pts,scraped_date
football,Albania,Superliga,2020/2021,Vllaznia,1,1,5,4,,,0,1,9,6,12,1,3,2,,,1,0,5,0,7,2020-12-15
football,Albania,Superliga,2020/2021,Kukesi,2,2,4,3,,,0,1,5,3,9,2,4,2,,,1,1,7,4,7,2020-12-15
football,Albania,Superliga,2020/2021,KF Tirana,4,3,5,2,,,2,1,5,1,8,6,3,1,,,1,1,4,4,4,2020-12-15
football,Albania,Superliga,2020/2021,Partizani,3,4,3,1,,,2,0,4,0,5,3,5,2,,,1,2,6,3,7,2020-12-15
football,Albania,Superliga,2020/2021,Teuta,5,5,5,0,,,5,0,3,3,5,4,3,1,,,2,0,1,0,5,2020-12-15
football,Albania,Superliga,2020/2021,Kastrioti,6,6,4,1,,,2,1,4,6,5,5,4,1,,,2,1,5,5,5,2020-12-15
football,Albania,Superliga,2020/2021,Bylis,8,7,5,1,,,2,2,3,7,5,9,3,0,,,2,1,2,3,2,2020-12-15
football,Albania,Superliga,2020/2021,Laci,7,8,3,1,,,1,1,7,3,4,7,5,0,,,4,1,3,4,4,2020-12-15
football,Albania,Superliga,2020/2021,Apolonia Fier,10,9,3,1,,,1,1,3,5,4,10,5,0,,,1,4,2,13,1,2020-12-15
football,Albania,Superliga,2020/2021,Skenderbeu,9,10,3,0,,,1,2,2,5,1,8,5,1,,,1,3,4,9,4,2020-12-15
handball,Austria,HLA,2020/2021,Alpla Hard,2,1,7,5,,,0,2,196,186,10,3,7,3,,,1,3,187,186,7,2020-12-15
hockey,Australia,AIHL,2020,Newcastle,1,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-12-15
handball,Austria,HLA,2020/2021,Handball Tirol,1,2,5,4,,,1,0,145,132,9,1,6,6,,,0,0,169,150,12,2020-12-15
handball,Austria,HLA,2020/2021,West Wien,6,3,7,3,,,3,1,184,174,9,8,4,1,,,0,3,98,114,2,2020-12-15
hockey,Australia,AIHL,2020,Sydney Ice Dogs,2,2,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Sydney Bears,3,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Melbourne Ice,4,4,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2020-12-15
handball,Austria,HLA,2020/2021,Aon Fivers,3,4,4,4,,,0,0,133,104,8,2,7,4,,,0,3,199,202,8,2020-12-15
handball,Austria,HLA,2020/2021,Barnbach/K.,8,5,5,4,,,0,1,147,127,8,9,3,0,,,0,3,71,91,0,2020-12-15
hockey,Australia,AIHL,2020,Adelaide,5,5,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,Melbourne Mustangs,6,6,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2020-12-15
handball,Austria,HLA,2020/2021,Krems,4,6,6,4,,,0,2,170,157,8,5,7,1,,,1,5,200,199,3,2020-12-15
handball,Austria,HLA,2020/2021,Ferlach,7,7,5,3,,,1,1,145,134,7,7,6,1,,,1,4,150,164,3,2020-12-15
hockey,Australia,AIHL,2020,Perth,7,7,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2020-12-15
hockey,Australia,AIHL,2020,CBR Brave,8,8,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2020-12-15
handball,Austria,HLA,2020/2021,Bregenz,5,8,7,3,,,0,4,190,187,6,4,6,2,,,1,3,159,166,5,2020-12-15
handball,Austria,HLA,2020/2021,HSG Graz,9,9,6,2,,,0,4,167,186,4,10,5,0,,,0,5,136,162,0,2020-12-15
handball,Austria,HLA,2020/2021,Linz,10,10,4,0,,,0,4,99,111,0,6,5,1,,,1,3,129,142,3,2020-12-15
